,Country,City,Location
2602,India,Kolkata,"(22.5677459, 88.3476023)"
2603,Mexico,Estado de México,"(19.4325301, -99.1332101)"
2604,Uruguay,Montevideo,"(-34.9059038, -56.1913568)"
2605,Mexico,GUADALAJARA,"(20.676143, -103.3469981)"
2606,Chile,Santiago,"(-33.4377967, -70.650445)"
2607,Singapore,,"(1.2904527, 103.852038)"
2608,China,,"(35.000074, 104.999927)"
2609,Argentina,buenos aires,"(-34.6143904, -58.4460878)"
2610,Panama,Panama,"(8.3096067, -81.3066245)"
2611,Argentina,Córdoba,"(-31.417339, -64.1833189)"
2612,Mexico,Guadalajara,"(20.676143, -103.3469981)"
2613,Colombia,Bogotá,"(4.5980478, -74.0760866)"
2614,Colombia,Cartagena,"(10.4236044, -75.5241719)"
2615,Mexico,,"(19.4325301, -99.1332101)"
2616,Mexico,"Dolores Hidalgo, Gto","(21.1574, -100.9346178)"
2617,Colombia,cucuta,"(7.8971458, -72.5080386)"
2618,Brazil,Rio de Janeiro / Petrópolis,
2619,Chile,Chillan,"(-36.6109805, -72.0983864)"
2620,United States of America,"Anchorage, Alaska","(61.2163129, -149.8948522)"
2621,Bolivia (Plurinational State of),La Pax,
2622,Argentina,Buenos aires,"(-34.6143904, -58.4460878)"
2623,Argentina,Buenos Aires,"(-34.6143904, -58.4460878)"
2624,Peru,lima,"(-12.0552079, -77.026476429964)"
2625,Bolivia (Plurinational State of),La Paz,
2626,United States of America,Angier,"(35.5071045, -78.7391812)"
2627,Chile,Santiago / Isla Negra,"(-33.4552319, -70.76398)"
2628,Mexico,Campeche,"(19.33157265, -89.9430807706679)"
2629,Netherlands,Urmond,"(51.0022158, 5.77533507429713)"
2630,Colombia,cucuta,"(7.8971458, -72.5080386)"
2631,Iran (Islamic Republic of),Tehran,
2632,Bolivia (Plurinational State of),La Paz,
2633,China,,"(35.000074, 104.999927)"
2634,Nicaragua,Managua,"(12.1461244, -86.2737169)"
2635,Mexico,Jalapa,"(17.77080775, -92.8021514574158)"
2636,China,Chongqing,"(29.5585712, 106.5492822)"
2637,Fiji,Lautoka,"(-17.6043955, 177.4530138)"
2638,Mexico,Guadalajara,"(20.676143, -103.3469981)"
2639,Canada,Toronto,"(43.6529206, -79.3849007)"
2640,Indonesia,sleman,"(-7.6894174, 110.381290426931)"
2641,Mexico,"CELAYA, GUANAJUATO","(20.5218353, -100.8140015)"
2642,Chile,Puerto Montt,"(-41.4718515, -72.9396135)"
2643,United Republic of Tanzania,Arusha,
2644,Mexico,,"(19.4325301, -99.1332101)"
2645,Colombia,Bogota,"(4.5980478, -74.0760866)"
2646,Mexico,Jalisco/Guadalajara,"(20.622039, -103.3676969)"
2647,Argentina,Santa fe,"(-31.64727895, -60.6430356770138)"
2648,Pakistan,Islamabad,"(33.6945756, 73.0643744)"
2649,Ecuador,Quito,"(-0.155388, -78.4862308)"
2650,Guatemala,Guatemala,"(15.6356088, -89.8988086)"
2651,China,,"(35.000074, 104.999927)"
2652,Bolivia (Plurinational State of),Tarija,
2653,Bolivia (Plurinational State of),La Paz,
2654,Colombia,Manizales,"(5.0646046, -75.4992303)"
2655,Zimbabwe,Mutare,"(-19.24555355, 32.4370922669523)"
2656,Austria,Vienna,"(48.2083537, 16.3725042)"
2657,Chile,Concepcion,"(-36.8233228, -73.0474342)"
2658,Mexico,Puebla,"(18.833333, -97.9999999)"
2659,Peru,Lima,"(-12.0552079, -77.026476429964)"
2660,Chile,Santiago,"(-33.4377967, -70.650445)"
2661,Mexico,Oaxaca,"(17.0, -96.4999999)"
2662,Mexico,Monterrey,"(25.63978365, -100.293101529066)"
2663,United States of America,"Atlanta, ga","(33.7490987, -84.3901848)"
2664,Costa Rica,,"(10.2735633, -84.0739101)"
2665,Australia,Auburn,"(-34.0263979, 138.6859174)"
2666,Indonesia,Jakarta,"(-6.1753941, 106.8271826)"
2667,Mexico,Aguascalientes,"(22.0000001, -102.5)"
2668,Mexico,"durango, durango","(23.9112721, -104.919810461772)"
2669,Mexico,Xalapa,"(19.5274085, -96.9238792)"
2670,Colombia,Bogotá,"(4.5980478, -74.0760866)"
2671,Mexico,Mexico City,"(19.4325301, -99.1332101)"
2672,Colombia,Funza,"(4.7163036, -74.2122205)"
2673,Mexico,mexico city,"(19.4325301, -99.1332101)"
2674,Peru,Lima,"(-12.0552079, -77.026476429964)"
2675,Nicaragua,León,"(12.619767, -86.5918194)"
2676,United States of America,San francisco,"(37.7792808, -122.4192362)"
2677,United States of America,Belleville,"(38.5200504, -89.9839934)"
2678,Costa Rica,Alajuela,"(10.6916755, -84.7561317)"
2679,Guatemala,Guatemala,"(15.6356088, -89.8988086)"
2680,Mexico,,"(19.4325301, -99.1332101)"
2681,Mexico,"Arandas, Jalisco.","(20.74931205, -102.314282111103)"
2682,China,jiangsuwuxi,
2683,Ecuador,Quito,"(-0.155388, -78.4862308)"
2684,Germany,Leipzig,"(51.3391827, 12.3810549)"
2685,United States of America,,"(39.7837304, -100.4458824)"
2686,Mexico,Zacatecas,"(23.0000001, -103.0)"
2687,Mexico,Puebla,"(18.833333, -97.9999999)"
2688,Honduras,San Pedro Sula,"(15.49479015, -88.067138509666)"
2689,Mexico,Morelia,"(19.7027684, -101.1923187)"
2690,Zimbabwe,Harare,"(-17.8317725, 31.0456859)"
2691,United Kingdom of Great Britain and Northern Ireland,"Originally London, now Arnside Cumbria",
2692,Nigeria,Port Harcourt,"(4.7676576, 7.0188527)"
2693,Nicaragua,Managua,"(12.1461244, -86.2737169)"
2694,Mexico,Mexico City,"(19.4325301, -99.1332101)"
2695,New Zealand,Palmerston North,"(-40.3542439, 175.6134125)"
2696,Costa Rica,San Carlos,"(10.62017945, -84.4257519924416)"
2697,Nigeria,,"(9.6000359, 7.9999721)"
2698,United States of America,"Eau Claire, Wi","(44.811349, -91.498494)"
2699,Ecuador,Imbabura,"(0.3753621, -78.3556809)"
2700,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
2701,Paraguay,Asunción,"(-25.2959915, -57.6311195)"
2702,Nicaragua,Managua,"(12.1461244, -86.2737169)"
2703,Spain,A Corunha,"(43.3712091, -8.3958767)"
2704,Italy,Palo Del Colle,"(41.057532, 16.700782)"
2705,Iran (Islamic Republic of),,"(32.9407496, 52.9471344)"
2706,Mexico,Monterrey,"(25.63978365, -100.293101529066)"
2707,Panama,,"(8.3096067, -81.3066245)"
2708,Colombia,Bogotá,"(4.5980478, -74.0760866)"
2709,India,Pune,"(18.64395815, 73.9325681901252)"
2710,Peru,Tacna,"(-17.6666669, -70.3333329)"
2711,Mexico,Oaxaca,"(17.0, -96.4999999)"
2712,Mexico,Monterrey,"(25.63978365, -100.293101529066)"
2713,Argentina,Buenos Aires,"(-34.6143904, -58.4460878)"
2714,United States of America,Austin,"(30.2711286, -97.7436994)"
2715,Australia,Melbourne,"(-37.8142175, 144.9631608)"
2716,Uruguay,MERCEDES,"(-33.2481354, -58.0301815)"
2717,Chile,Valdivia,"(-39.8141964, -73.2458524)"
2718,Nicaragua,Managua,"(12.1461244, -86.2737169)"
2719,Guatemala,Guatemala,"(15.6356088, -89.8988086)"
2720,United States of America,Cincinnati,"(39.1014537, -84.5124601)"
2721,India,Delhi,"(28.6517178, 77.2219388)"
2722,Argentina,Córdoba,"(-31.417339, -64.1833189)"
2723,Chile,Viña del Mar,"(-33.0245029, -71.5518118)"
2724,Australia,Eleebana,"(-32.9955514, 151.6344322)"
2725,Chile,Temuco,"(-38.7400297, -72.590137)"
2726,Mexico,Guadalajara,"(20.676143, -103.3469981)"
2727,United Kingdom of Great Britain and Northern Ireland,Bristol,"(51.453493, -2.5973936)"
2728,Spain,Sevilla,"(37.3886303, -5.995317)"
2729,Costa Rica,"San Jose, capital city.",
2730,Spain,b,"(43.5505253, -6.0294676)"
2731,Mexico,México city,"(19.4325301, -99.1332101)"
2732,Peru,lima,"(-12.0552079, -77.026476429964)"
2733,Guatemala,Guatemala City,"(14.6417889, -90.5132238)"
2734,Bangladesh,Dhaka,"(23.7593572, 90.3788136)"
2735,Mexico,San Marcos,"(20.82346395, -104.246353460897)"
2736,Peru,Lima,"(-12.0552079, -77.026476429964)"
2737,Guatemala,Guatemala,"(15.6356088, -89.8988086)"
2738,Malaysia,George Town,"(5.4166322, 100.3303604)"
2739,Mexico,Guadalajara,"(20.676143, -103.3469981)"
2740,Spain,Gijón,"(43.5450394, -5.6626442)"
2741,Hungary,Budapest,"(47.4983815, 19.0404707)"
2742,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2743,Brazil,RECIFE-PE,"(-8.064193, -34.8781516)"
2744,Mexico,Sonora,"(29.3333331, -110.666667)"
2745,Philippines,,"(12.7503486, 122.7312101)"
2746,Peru,Callao,"(-12.0666669, -77.1499999)"
2747,Iran (Islamic Republic of),Tehran,
2748,South Africa,rustenburg,"(-25.6656552, 27.2414481)"
2749,India,New Delhi,"(28.6138967, 77.2159562)"
2750,Mexico,,"(19.4325301, -99.1332101)"
2751,India,,"(22.3511148, 78.6677428)"
2752,United States of America,New York,"(40.7305991, -73.9865811)"
2753,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2754,Spain,,"(40.0028028, -4.0031039)"
2755,Guatemala,Guatemala city,"(14.6417889, -90.5132238)"
2756,India,Hyderabad,"(17.3616227, 78.4747305)"
2757,Nepal,Kathmandu,"(27.7087963, 85.3202438)"
2758,Germany,,"(51.0834196, 10.4234469)"
2759,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
2760,Sri Lanka,Kotte,"(6.9031663, 79.9091644)"
2761,Spain,Pamplona,"(42.8185502, -1.6444164)"
2762,United Kingdom of Great Britain and Northern Ireland,Leeds,"(53.7974185, -1.543794)"
2763,Spain,Madrid,"(40.4167047, -3.7035824)"
2764,Portugal,Porto (now in Johannesburg and then Maputo),
2765,Spain,,"(40.0028028, -4.0031039)"
2766,France,Paris,"(48.8566101, 2.3514992)"
2767,France,,"(46.603354, 1.8883335)"
2768,Iran (Islamic Republic of),tehran,
2769,India,Maharashtra ..Pune,"(18.6566342, 73.7655114)"
2770,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2771,Hungary,Budapest,"(47.4983815, 19.0404707)"
2772,United Kingdom of Great Britain and Northern Ireland,Leamington,"(52.2921548, -1.5356985)"
2773,Indonesia,,"(-4.7993355, 114.5632032)"
2774,Nigeria,portharcourt,"(6.426704, 7.537589)"
2775,South Africa,cape town,"(-33.9289048, 18.4172485)"
2776,Zimbabwe,BULAWAYO,"(-20.1053947, 28.5426856)"
2777,Sweden,Gothenburg,"(57.7072326, 11.9670171)"
2778,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2779,Denmark,Copenhagen,"(55.6867243, 12.5700724)"
2780,France,,"(46.603354, 1.8883335)"
2781,France,Toulouse,"(43.6044622, 1.4442469)"
2782,Kenya,ELDORET,"(0.5198329, 35.2715481)"
2783,Philippines,,"(12.7503486, 122.7312101)"
2784,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2785,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2786,Kenya,NAIROBI,"(-1.2832532, 36.8172449)"
2787,Indonesia,Jakarta,"(-6.1753941, 106.8271826)"
2788,France,,"(46.603354, 1.8883335)"
2789,Fiji,Suva,"(-18.1415883, 178.4421662)"
2790,Germany,,"(51.0834196, 10.4234469)"
2791,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2792,Iran (Islamic Republic of),Bastak,
2793,United States of America,MAPLE SHADE,"(39.9526127, -74.9923914)"
2794,Spain,Madrid,"(40.4167047, -3.7035824)"
2795,Uganda,kampala,"(0.3177137, 32.5813539)"
2796,Spain,Segovia,"(40.9502159, -4.1241493)"
2797,Ukraine,odessa,"(46.4846121, 30.7325586)"
2798,Nigeria,Edo,"(6.6076575, 5.9722713)"
2799,Netherlands,Amsterdam,"(52.374436, 4.8979956033677)"
2800,Portugal,Lisbon,"(38.7077926, -9.1365069)"
2801,Brazil,Rio de Janeiro,"(-22.9110136, -43.2093726)"
2802,United Kingdom of Great Britain and Northern Ireland,Birmingham,"(52.4776875, -1.8948515)"
2803,Spain,GRANADA,"(37.1830197, -3.6021919)"
2804,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
2805,Pakistan,Islamabad,"(33.6945756, 73.0643744)"
2806,Brazil,Jundiai/SP,"(-23.1882257, -46.8838096)"
2807,Spain,Gijón,
2808,Burundi,Bujumbura,"(-3.3638124, 29.3675028)"
2809,Nigeria,UK,"(51.4769564, 0.0367054)"
2810,Colombia,Barranquilla,"(11.04667645, -74.8490503668463)"
2811,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
2812,France,Aix en Provence,"(43.5298424, 5.4474738)"
2813,Argentina,Buenos Aires,
2814,Uganda,Kampala,"(0.3177137, 32.5813539)"
2815,France,,"(46.603354, 1.8883335)"
2816,Pakistan,Dera Ghazi Khan,"(30.0524035, 70.6516579)"
2817,United States of America,"San Juan, PR",
2818,United States of America,,"(39.7837304, -100.4458824)"
2819,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
2820,Spain,Madrid,"(40.4167047, -3.7035824)"
2821,Portugal,ponta delgada,"(37.7463404, -25.6670662)"
2822,United Kingdom of Great Britain and Northern Ireland,Billericay,"(51.6289575, 0.4198562)"
2823,India,Greater Noida,"(28.4670734, 77.5137649)"
2824,Ghana,Accra,"(5.5600141, -0.2057436)"
2825,Argentina,Buenos aires,
2826,France,Paris,"(48.8566101, 2.3514992)"
2827,United Kingdom of Great Britain and Northern Ireland,Winchester,
2828,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2829,Estonia,Йыхви,"(59.3579433, 27.4135654)"
2830,Republic of Moldova,тирасполь,"(46.8516039, 29.6349435)"
2831,Togo,LOME,"(6.1258459, 1.2249327)"
2832,India,,"(22.3511148, 78.6677428)"
2833,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2834,United States of America,New Jersey,"(40.0757384, -74.4041621)"
2835,Belarus,Калинковичи,"(52.1284363, 29.3318767)"
2836,Netherlands,The Hague,"(52.0799838, 4.3113461)"
2837,India,bangalore,"(12.9791198, 77.5912997)"
2838,United Kingdom of Great Britain and Northern Ireland,Milton Keynes,"(52.0429797, -0.7589606)"
2839,Ghana,Accra,"(5.5600141, -0.2057436)"
2840,South Africa,Cape Town,"(-33.9289048, 18.4172485)"
2841,France,,"(46.603354, 1.8883335)"
2842,Netherlands,,"(52.2379891, 5.53460738161551)"
2843,United Kingdom of Great Britain and Northern Ireland,Guildford,"(51.237195, -0.5811778)"
2844,Republic of Korea,Hsinchu City,
2845,United Kingdom of Great Britain and Northern Ireland,Sheffield,"(53.3806626, -1.4702277)"
2846,Ghana,Dodowa,"(5.8842443, -0.0920886)"
2847,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2848,Nigeria,Ibadan,"(7.3786064, 3.8969928)"
2849,United Kingdom of Great Britain and Northern Ireland,Gullane,
2850,Zambia,Lusaka,"(-15.4166966, 28.2813812)"
2851,Argentina,,
2852,Cameroon,BUEA,"(4.1562251, 9.2317397)"
2853,Norway,oslo,
2854,United Kingdom of Great Britain and Northern Ireland,York,"(53.9590555, -1.081536)"
2855,United States of America,"New York, NY","(40.7305991, -73.9865811)"
2856,United States of America,"Brooklyn, MI","(42.105874, -84.2482818)"
2857,Colombia,Bogota,
2858,United States of America,"New Port Richey, FL",
2859,United Kingdom of Great Britain and Northern Ireland,Chelmsford,
2860,Austria,vienna,"(48.2083537, 16.3725042)"
2861,Brazil,Salvador,"(-12.9822498, -38.4812771)"
2862,Chile,Santiago de Chile,"(-33.4377967, -70.650445)"
2863,India,DELHI,"(28.6517178, 77.2219388)"
2864,Kuwait,Aljhra,
2865,Spain,,"(40.0028028, -4.0031039)"
2866,Chile,Santiago,
2867,Ukraine,Черкассы,"(49.4447888, 32.0587805)"
2868,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
2869,France,Paris,"(48.8566101, 2.3514992)"
2870,United States of America,,"(39.7837304, -100.4458824)"
2871,New Zealand,Auckland,"(-36.8534664, 174.7655514)"
2872,Ecuador,Quito,
2873,United States of America,,"(39.7837304, -100.4458824)"
2874,United Kingdom of Great Britain and Northern Ireland,Preston,"(53.7589938, -2.7051617)"
2875,Venezuela (Bolivarian Republic of),Caracas,
2876,Ukraine,Одесса,"(46.4846121, 30.7325586)"
2877,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2878,United States of America,New York City,"(40.7305991, -73.9865811)"
2879,Mexico,Mexicali,"(32.6200699, -115.4440697)"
2880,Mexico,Guadalajara,"(20.676143, -103.3469981)"
2881,Kuwait,,"(29.2733964, 47.4979476)"
2882,Ecuador,Quito,
2883,India,,"(22.3511148, 78.6677428)"
2884,Mexico,Monterrey,
2885,Ecuador,Quito,
2886,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2887,United States of America,San Francisco,
2888,United Kingdom of Great Britain and Northern Ireland,,
2889,Argentina,Villa Maria - Cordoba,
2890,United Kingdom of Great Britain and Northern Ireland,London,
2891,Portugal,lisbon,
2892,Mexico,Xalapa,
2893,Bolivia (Plurinational State of),Santa Cruz,
2894,Argentina,San Luis,
2895,United Kingdom of Great Britain and Northern Ireland,London,
2896,Netherlands,the hague,
2897,Argentina,Quilmes,"(-34.7303024, -58.2688679)"
2898,Russian Federation,Kaliningrad,"(54.7066422, 20.5105166)"
2899,Mexico,Mexico City,"(19.4325301, -99.1332101)"
2900,South Africa,Port Elizabeth,"(-33.9434594, 25.5327401)"
2901,Ukraine,Киев,"(50.4501071, 30.5240501)"
2902,France,Dijon,
2903,United States of America,new york,
2904,Brazil,Sao jose dos campos,"(-23.1806358, -45.8906616)"
2905,Indonesia,Yogyakarta,"(-7.7829246, 110.3669652)"
2906,Australia,Canberra,
2907,Canada,mulmur,"(44.2500211, -80.0228061)"
2908,Togo,Lome,"(6.1258459, 1.2249327)"
2909,Belgium,Brussels,"(50.8465565, 4.351697)"
2910,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2911,United States of America,"Richmond, VA","(37.5385087, -77.4342799)"
2912,Cameroon,Yaounde,"(3.8689867, 11.5213344)"
2913,United States of America,NY,"(43.1561681, -75.8449945)"
2914,Belarus,Minsk,"(53.902334, 27.5618791)"
2915,United States of America,"Farmville, VA","(37.3020966, -78.3919402)"
2916,Argentina,La Rioja,"(-29.972978, -67.0487943)"
2917,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2918,Israel,Bnei Brak,"(32.0873899, 34.8324376)"
2919,United States of America,New York City,"(40.7305991, -73.9865811)"
2920,United States of America,Puerto Rico,"(18.2017809, -66.5841245)"
2921,Chile,Puerto Varas,
2922,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
2923,Trinidad and Tobago,Couva,"(10.4223291, -61.4587079)"
2924,Argentina,la Paz,
2925,United Kingdom of Great Britain and Northern Ireland,London,
2926,Singapore,Singapore,
2927,India,Nagpur,
2928,Brazil,,"(-10.3333332, -53.1999999)"
2929,United States of America,10017,"(40.7524991072545, -73.9728768160401)"
2930,Portugal,,"(40.033265, -7.8896262)"
2931,United Kingdom of Great Britain and Northern Ireland,Lyme Regis,"(50.7252897, -2.9345589)"
2932,United States of America,"Ponce, PR",
2933,Germany,Bamberg,"(49.8926723, 10.8876149)"
2934,United States of America,,
2935,United States of America,"New Braunfels, Texas",
2936,China,,
2937,Colombia,Cali,
2938,Argentina,Córdoba,
2939,Kazakhstan,Талдыкорган,
2940,Argentina,Buenos Aires,
2941,Ireland,Dublin,
2942,United States of America,"Charleston, West Virginia",
2943,Canada,st clet,
2944,Colombia,Bogota,
2945,Spain,madrid,
2946,United States of America,"Washington, D.C.",
2947,United States of America,Nebraska,
2948,Mexico,Mexico City,
2949,Venezuela (Bolivarian Republic of),Caracas,
2950,Iran (Islamic Republic of),Behbahan,
2951,Colombia,Bogotá,
2952,United States of America,Brooklyn,
2953,United Kingdom of Great Britain and Northern Ireland,,
2954,Mexico,Campeche,
2955,Cambodia,Phnom Penh,
2956,Spain,,
2957,Colombia,san juan de rioseco cundinamarca,
2958,United States of America,"Seattle, WA","(47.6038321, -122.3300623)"
2959,Mexico,Sonora,"(29.3333331, -110.666667)"
2960,Sweden,Simrishamn,"(55.5565541, 14.3499903)"
2961,Greece,Athens,"(37.9841493, 23.7279843)"
2962,Finland,Helsinki,"(60.1666277, 24.9435079)"
2963,Mexico,Ciudad de México,"(19.4325301, -99.1332101)"
2964,Colombia,,"(2.893108, -73.7845142)"
2965,United States of America,"New Haven, CT","(41.3082138, -72.9250517)"
2966,Ukraine,,"(49.4871968, 31.2718321)"
2967,Honduras,Tegucigalpa,"(14.0931919, -87.201263)"
2968,Mexico,Zacatecas,
2969,Spain,Madrid,"(40.4167047, -3.7035824)"
2970,El Salvador,San Salvador,"(13.6977587, -89.1930099)"
2971,Pakistan,Karachi,"(24.8667795, 67.0311286)"
2972,India,,"(22.3511148, 78.6677428)"
2973,Chad,N'Djamena,"(12.1191543, 15.0502758)"
2974,Venezuela (Bolivarian Republic of),Caracas,
2975,United States of America,New York City,"(40.7305991, -73.9865811)"
2976,Belgium,Brussels,"(50.8465565, 4.351697)"
2977,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
2978,Argentina,Cordoba,"(-32.096736, -63.7940922)"
2979,Colombia,Bogotá,"(4.5980478, -74.0760866)"
2980,Ukraine,Kamyanytsa,
2981,Chile,Santiago,"(-33.4377967, -70.650445)"
2982,Bolivia (Plurinational State of),La Paz,
2983,Australia,,"(-24.7761085, 134.755)"
2984,United States of America,"Washington, D.C.",
2985,United States of America,Bakersfield,"(35.3738712, -119.0194638)"
2986,Rwanda,Ottawa,
2987,Iran (Islamic Republic of),Mashhad,
2988,Sweden,,"(59.6749712, 14.5208584)"
2989,United States of America,,"(39.7837304, -100.4458824)"
2990,Mexico,CDMX,"(19.32055625, -99.1517009707765)"
2991,Uganda,yougua,
2992,Germany,Berlin,"(52.5170365, 13.3888599)"
2993,India,Chennai,"(13.0796914, 80.2829533)"
2994,United States of America,Washington DC,"(38.8949549, -77.0366455)"
2995,Malta,Kalkara,"(35.8903725, 14.5281211)"
2996,Mexico,Ciudad de México,"(19.4325301, -99.1332101)"
2997,India,Guntur,"(16.416667, 80.25)"
2998,Germany,Hamburg,"(53.5437641, 10.0099133)"
2999,United Arab Emirates,sharjah,"(25.22972105, 55.7822507738703)"
3000,Colombia,Arauca,"(6.6666755, -71.0000085)"
3001,United Kingdom of Great Britain and Northern Ireland,Glasgow,"(55.856656, -4.2435816)"
3002,United Kingdom of Great Britain and Northern Ireland,Warwick,"(52.2850815, -1.5785411)"
3003,Peru,Lima,"(-12.0552079, -77.026476429964)"
3004,El Salvador,San Salvador,"(13.6977587, -89.1930099)"
3005,Turkey,istanbul,"(41.0096334, 28.9651646)"
3006,Mexico,Mexico city,"(19.4325301, -99.1332101)"
3007,Argentina,buenos aires,"(-34.6143904, -58.4460878)"
3008,United Arab Emirates,Sharjah,"(25.22972105, 55.7822507738703)"
3009,India,hyd,"(17.23141085, 78.4316892439649)"
3010,El Salvador,San Salvador,"(13.6977587, -89.1930099)"
3011,Costa Rica,San José,"(9.9360107, -84.0919724335087)"
3012,Ukraine,Кривой Рог,"(47.9102734, 33.3917703)"
3013,United States of America,Farmington,"(36.7304288, -108.208919)"
3014,United States of America,,"(39.7837304, -100.4458824)"
3015,France,Paris,"(48.8566101, 2.3514992)"
3016,Portugal,Lisbon,"(38.7077926, -9.1365069)"
3017,United States of America,"Maspeth, NY","(40.723158, -73.9126369)"
3018,Brazil,São Paulo/SP,"(-23.5506506, -46.6333823)"
3019,United States of America,Rockville Centre,"(40.6587138, -73.6412405)"
3020,Mexico,"Chetumal, Quintana Roo","(18.5020725, -88.2908877)"
3021,Argentina,lanus,"(-34.7033362, -58.3953234)"
3022,Portugal,,"(40.033265, -7.8896262)"
3023,Canada,Montréal,"(45.5087928, -73.5539819)"
3024,United Kingdom of Great Britain and Northern Ireland,St. Leonards-on-sea,
3025,Tunisia,ennasr,"(36.8489647, 10.3098003)"
3026,United States of America,New York,"(40.7305991, -73.9865811)"
3027,United States of America,"New York, NY","(40.7305991, -73.9865811)"
3028,Mexico,Jalisco,"(20.3333331, -103.666667)"
3029,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
3030,Jordan,Amman,"(31.9515694, 35.9239625)"
3031,Gabon,Libreville,"(0.3900022, 9.4540009)"
3032,United States of America,Chicago,"(41.8755546, -87.6244211)"
3033,Mexico,Pachuca Hidalgo,"(20.1165413, -98.7413534)"
3034,Guatemala,Guatemala,"(15.6356088, -89.8988086)"
3035,United States of America,new york,"(40.7305991, -73.9865811)"
3036,Maldives,,"(4.2218417, 73.4867968)"
3037,Iran (Islamic Republic of),گيلان,
3038,Mexico,Ciudad de México,"(19.4325301, -99.1332101)"
3039,United Kingdom of Great Britain and Northern Ireland,Ilkley,"(53.9257254, -1.8244409)"
3040,Spain,Madrid,"(40.4167047, -3.7035824)"
3041,Peru,Lima,"(-12.0552079, -77.026476429964)"
3042,Honduras,Comayagua,"(14.55509585, -87.6779462568156)"
3043,United States of America,NYC,"(40.7305991, -73.9865811)"
3044,United States of America,"New York, NY","(40.7305991, -73.9865811)"
3045,United States of America,NYC,"(40.7305991, -73.9865811)"
3046,Honduras,Tegucigalpa,"(14.0931919, -87.201263)"
3047,Chile,Santiago,
3048,Argentina,Buenos Aires,
3049,Venezuela (Bolivarian Republic of),Caracas,
3050,Mexico,"TLACOTALPAN, VERACRUZ","(18.52076065, -95.6230403402794)"
3051,Mexico,"Teocelo, Veracruz.","(19.3732045, -96.9550372557146)"
3052,Mexico,Puebla,"(18.833333, -97.9999999)"
3053,United States of America,Bellingham,"(48.754402, -122.4788601)"
3054,Mexico,Pachuca de Soto,"(20.1165413, -98.7413534)"
3055,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
3056,Canada,Vancouver,"(49.2608944, -123.1139382)"
3057,Russian Federation,Нижний Новгород,"(56.3278821, 44.0072897)"
3058,Spain,Madrid,"(40.4167047, -3.7035824)"
3059,Mexico,Puerto Vallarta,"(20.69820775, -105.181449933009)"
3060,Iran (Islamic Republic of),zanjan,
3061,Belgium,Soignies,"(50.5775309, 4.0732968)"
3062,United States of America,,
3063,Mexico,Tijuana,
3064,Mexico,Ciudad de México,"(19.4325301, -99.1332101)"
3065,United States of America,Menlo Park,"(37.4538274, -122.182187)"
3066,United States of America,"New York, NY","(40.7305991, -73.9865811)"
3067,United States of America,,"(39.7837304, -100.4458824)"
3068,Argentina,Buenos Aires,
3069,Spain,,"(40.0028028, -4.0031039)"
3070,Iran (Islamic Republic of),tehran,
3071,Iran (Islamic Republic of),Tehran,
3072,Mexico,Tultitlan,"(19.6168603, -99.1592730286462)"
3073,Turkey,ankara,"(39.9220732, 32.853758)"
3074,Argentina,Córdoba,"(-31.417339, -64.1833189)"
3075,United States of America,"Washington, DC","(38.8949549, -77.0366455)"
3076,United States of America,,"(39.7837304, -100.4458824)"
3077,Honduras,Tegucigalpa,"(14.0931919, -87.201263)"
3078,United States of America,,"(39.7837304, -100.4458824)"
3079,Argentina,buenos aires,
3080,Guatemala,Guatemala,"(15.6356088, -89.8988086)"
3081,Yemen,sana'a,"(15.342101, 44.2005197)"
3082,Russian Federation,Томск,"(56.4887123, 84.9523238)"
